app,userName,at,score,title,content
Unacademy,ruhiiiiiiiiiiiiiii,,1,dissapointing,they do not absolutely pay attention on the tech part of their company and the classes glitch so much due to which we miss lectures. its dissapointing
Unacademy,GuddiMon,,1,Glitchy,The content that is being taught is great but app very glitchy facing issues in attending live classes and recordings please fix it!
Unacademy,Sanay07,,1,Worst app ever made,My experience i would say unacademy is best in teachers as they know the importance of teacher but didn’t know importance of app pw app is better then unacademy in terms of app
Unacademy,ZhRushtsjyxit,,1,Bad tech support,Only one thing to say class laga hi nhi sakte tum live ache se even from the educator side
Unacademy,Anup12396,,1,Worst experience,"Worst experience bcz you will get call 10-20times in a week to purchase this course that course, 10-20times calls you will get but when there is any issue and you want to call then you will find there is not any way to call with issue but will options to purchase (ye purchase karne k liye ye dabao wo badao) you have to go purchase section to call customer service but they say I’m applicable to do this and I’m transferring your call and you’ll get call 1-2he. Even 1-2days after you will not get call. Even now you will get call to purchase this that but not customer support call. 
That’s very rude and customer team also rude. 
If you want to purchase any course with Unacademy first check another app like Wallah app. 
If you want to bet and purchase Unacademy course they it’s all about your that is anything went wrong you’ll be ups and downs"
Unacademy,Hardik 07,,5,Superb app,Genuine cat faculty 👌
Unacademy,……25()&,,1,.,Frequent calls are just irritating. If one need ur help let him call u why u call n call after denying so many times. I don’t want any subscription I am not preparing for any exam just don’t call me
Unacademy,Nitant 786,,1,Fix the app,Application doesnt load videos or any other content
Unacademy,Mahi F,,1,No proper lectures conducted. No proper response on their end.,"Good afternoon authorities,
I miss Mahi Faria, have recently taken subscription of unacademy for 12 months even i don’t know how i did this mistake, however no proper lectures are being conducted. Mail sent isn’t getting any proper response. Am i fool for trusting this app and paying the amount? 
No one is calling back. We are wasting our time and energy all for what? im going to put an instagram story so others don’t do the same mistake as i do! Worst app, kindly do not subscribe."
Unacademy,Jack Debbarma,,2,Issues in subscription,When to enter subscription section it just keep loading even though I have a good internet connection
Unacademy,sunil chowdary raj,,1,bad experience,"very bad customer service support iam facing problem since 8 days after purchasing iconic subscription.

they are not bothered about single issue"
Unacademy,shavvvvvvvvvyyy,,1,Not letting me pay from iphone,Forcing me to pay from web not from app
Unacademy,Raj Jit,,1,Too bad/Spamers,Their sales team is too rude. They just trying to sale you courses.
Unacademy,Unacadamy,,1,Bad experience,Glitching and lagging
Unacademy,CyNan BamNa,,1,Subscription…,I can’t open the subscription page and can’t find any way to contact the team.
Unacademy,Golu20,,1,Pw is better than this,👎
Unacademy,saurav.1996,,1,There are bugs in the app,No sound in AirPods in Unacademy app
Unacademy,Lovepreet joshi,,2,Searching experience is worst,"Everything is good , but if I search a topic or subject it do not show latest courses , it shows 
4 year old videos.
My second issue is you can’t reduce the quality, due to which sometimes my internet pack gets consumed."
Unacademy,Tanuj Talwar shah,,1,Do not buy Unacademy,It’s a total sham playing with parents money and students future do not buy any course on Unacademy there is no accountability of anyone it’s a group of it strugglers who want to use the app platforms to make extra money unprofessional brigade of these college dropouts
Unacademy,Meherara,,1,"Unable to connect to Internet, try again massage continuously.","Unable to connect due to slow internet connection, try again
I use 30 mbps plan, every app like Netflix, Amazon prime run so smooth, but Unacademy has show slow connection"
Unacademy,Farhan Shaikh 02,,1,Need Update,There are many bugs in classes..I can see the green screen and rankings not available
Unacademy,~PT,,1,App need to be improve,The App is so confusing and complicated.Need to make changes and improve it ao that student don’t get confuse. Hire some good software engineer and fix the bug.
Unacademy,Nap7447,,1,No support system,Unable to access the courses despite paying the fees Only if they had shown the same enthusiasm of canvassing people to resolving bugs / issues faced by subscribers
Unacademy,DHARSHAN Gowda18,,1,Technical issue,I am reporting from past 2 month but no one is responding to me even k raised many complaints through email and no reply and no response from Unacadamy so don’t take classes from UNACADAMY  NO TECHNICAL SUPPORT FROM THEM👎👎👎👎👎
Unacademy,Zondu112,,1,Sjjs,It does not show correct answer after test
Unacademy,Sanskaf,,4,unacdemy,PW ALLEN BETTER😂🤣🤣
Unacademy,Adv_techacker,,1,Not responsive,Your app is not the result of the test. One of the worst app
Unacademy,JDD2121,,1,"No proper Administration for this App, a bug is there reporting from last 3 months still no action","Those teacher who use green screen in the background, are shown as neon color background which is a bug as it should have shown the content in that. Reporting that bug from last 3 months to the administration still no action is taken. Fed up with the App, So worst service by unacademy now they don’t even care that students are facing problem. So disappointing Unacademy."
Unacademy,Ajju200215,,1,Worst app,Worst app the subscription page is not loading now I am trying to subscribe to unacademy  but the page is not loa at all it’s already half an hour since I am trying my WiFi is 5g all other apps are working well but this app is not loading worst app need improvement.
Unacademy,Kumari_Ruchi_05,,1,Disgusting application,I bought the subscription for 3years and now some of the educators have left the platform and the unacademy organisation have removed all their recorded lectures from the platform. I mean how are we at fault regarding this…..and now how will we study!….pathetic!….pehle inhone humein saste me courses bech di 3saal ki fur teachers ko hatwa dive aur ab unke lectures bhi delete kr diye!
Unacademy,Chigi07,,1,CA classes,Do not purchase classes from unacademy as they force you to purchase classes & secondly they lie about their features & 3rd they do not provide after sales support. Worst application ever & worst interface too. & do note that counsellors like “deepmala” are the best liars of unacademy.
Unacademy,Ankit Mehta5437,,1,Problems,Site not work on laptop . It’s only for mobile.
Unacademy,Anir00,,1,The ipadOS app is lagging and the video and voice are not in sync with each other.,You should fix the ipad app in a much needed update asap.
Unacademy,Potataobhai,,1,issue in recordings,please fix the green screen issue in all ios devices in recs its been 3 months
Unacademy,ishwarya.s,,1,no proper reaponse,when they need us to get subscription we het multiple cals but when few classes are not being palyed if we call them they will asku us to mail and no solution will be given
Unacademy,A.raza666,,5,Very bad app,After some days app is lagging so much
Unacademy,Isnenddjkwwkkw,,1,Login issues in ios,Very bad
Unacademy,Zxcvbnmmlkjhgfdsapoiuytrewq,,1,Management of Unacadamy,It is the worst management i have seen till now . No response from helpers team on any issues or complaints faced after taking the subscription. Finally its totally waste of money and time. But in return they give you mental stress its a bonus from Unacadamy. I actually prefer to give zero star but its is not possible so I have one star
Unacademy,Fgftihgf,,3,Very buggy,The educators are best but the unacademy ios app is super buggy man. Please fix it . Sometimes after even pausing the video it doesn’t stop but in the screen the button shows paused. Sometimes the lectures are not downloadable. Man please someone fix this app. This makes very inconvenient to study offline.
Unacademy,Sumit-learner,,1,Every class I enter always shows green screen,This bug is really the worst all the classes shows green screen for every educator. Please fix this and this is specific with iOS
Unacademy,Anshuman Hooda,,3,Review about app,Educators are excellent but for now i am reviewing only ipad unacademy app (not the educators) the app was ok at first but now it is getting worse as it is not working properly classes are getting stuck in between full app crash lags and app hang in between unable to operate anything. I hope that developers take it seriously and do something about it. Thanks…..
Unacademy,Dx_Rule,,1,Close app,I ..tk.. 2 year subscription… and unacademy closed.  App … not even gv. Refund.
Unacademy,oishehe,,1,management is very poor,the teachers can teach good but they do whatever they want not finishing syllabus on time and the question present in the app are so bad not according to the neet level
Unacademy,Vimal Prasath,,3,Needs some optimisation for iPad,"Although the lectures are worthy buying, it feels laggy when skipping the videos. Otherwise, it deserves 5⭐️. There are plenty of teachers to choose from based on our needs, and  love it. 🕊️✌🏻"
Unacademy,Asad5841623,,1,Unable to attend my subscription classes on app,Very worst experience with unacademy ios app I’m unable to attend my subscription classes in ios unacademy app and there is no resolve after calling and email to unacademy.
Unacademy,Jptakeshiscastle,,4,Extremely helpful but issue in iPad and iPhone,"In my laptop everything is normal but in iPhone and iPad when ever I open a teachers profile it says “something went wrong try again later”
Then if a watch a teacher’s class and the teacher uses a green screen background then the background will be visible to me in green"
Unacademy,Aman Panchal,,2,Live class join issue,"Please fix this bug, inspite of 5G internet, screen showing no internet connection. I am annoyed by this issue"
Unacademy,Customer@404,,1,"Best educators, Worst Application and management","I have been using this app for a while now, 
Search is terrible for content.
The videos are haphazardly organized.
It is impossible to go back to any content as the title never matches, the API response is too slow.

Really should have worked on better process and better development.

Worst User Experience but best educators."
Unacademy,Tris~156,,1,Disappointed,"I'm extremely disappointed with the Unacademy app, which is plagued by persistent technical issues. Despite numerous attempts, I consistently encounter glitches 24/7, making it frustrating to operate.

The app's instability and frequent errors hinder my learning experience. I urge the developers to prioritize bug fixes and improve the overall performance to provide a seamless user experience."
Unacademy,Chandan malla,,5,Maybe it’s useful for you:-,It’s good app.but you can’t use it in MacBook and below ios16 .
