content,score,source,app,clean_review
I like to use this app as it has good courses and top educators for learning......but after a week or two of using this app it started to be slow and sometimes also use to hang ...which usually wastes my time and it also frustates a lot! So please do something to use this app smoothly,2,PlayStore,Unacademy,i like to use this app as it has good courses and top educators for learningbut after a week or two of using this app it started to be slow and sometimes also use to hang which usually wastes my time and it also frustates a lot so please do something to use this app smoothly
for learning,2,PlayStore,Unacademy,for learning
the best ias preperation study app,5,PlayStore,Unacademy,the best ias preperation study app
best classes,5,PlayStore,Unacademy,best classes
nice app 😍😍🥰😍😍🥰🥰🥰,4,PlayStore,Unacademy,nice app 
very useful for better study 📝🗒️📈,3,PlayStore,Unacademy,very useful for better study 
all teachers are mind-blowing,4,PlayStore,Unacademy,all teachers are mindblowing
worst part of this app is they are calling continuously for their offers.. how can any one use their free access with this type of inconvenience.. so disturbing,1,PlayStore,Unacademy,worst part of this app is they are calling continuously for their offers how can any one use their free access with this type of inconvenience so disturbing
quality of Educators,5,PlayStore,Unacademy,quality of educators
very good learning platform,5,PlayStore,Unacademy,very good learning platform
Worst application ever. Paid marketing karte hai for views and subscription.,1,PlayStore,Unacademy,worst application ever paid marketing karte hai for views and subscription
east or west PW is the best!,1,PlayStore,Unacademy,east or west pw is the best
best online learning Application for judiciary. N number of educators give you liberty of learning from the best one And for me best is one and only VISHAL SINGH THAKUR SIR . BEST APPLICATION AND BEST EDUCATOR,5,PlayStore,Unacademy,best online learning application for judiciary n number of educators give you liberty of learning from the best one and for me best is one and only vishal singh thakur sir  best application and best educator
बिलकुल बेकार 😔app है...,1,PlayStore,Unacademy,  app 
Updated version is not working properly.....whole day I tried to open it but I couldn't. year 2022 now it is very good 2025,4,PlayStore,Unacademy,updated version is not working properlywhole day i tried to open it but i couldnt year  now it is very good 
Unacademy is an amazing learning platform with wide range of educators. Vishal sir/ our bhaiya is the best educator not just at unacademy but in the entire legal fraternity. The excellent teacher for all the subjects. I have personally grown under the guidance of Vishal sir. Thank you bhaiya for your unwavering efforts.,5,PlayStore,Unacademy,unacademy is an amazing learning platform with wide range of educators vishal sir our bhaiya is the best educator not just at unacademy but in the entire legal fraternity the excellent teacher for all the subjects i have personally grown under the guidance of vishal sir thank you bhaiya for your unwavering efforts
some classes are not showing still classes problem study is not going on properly do something,2,PlayStore,Unacademy,some classes are not showing still classes problem study is not going on properly do something
best learning app,4,PlayStore,Unacademy,best learning app
they're calling me again again and I unsubscribed from them still now they're calling me again again don't do this it irritating me don't u have any common sense at all don't repeat this again,1,PlayStore,Unacademy,theyre calling me again again and i unsubscribed from them still now theyre calling me again again dont do this it irritating me dont u have any common sense at all dont repeat this again
